CM0603;via Carmine (ang. via Manno);19S,19,9A,9
CM0604;via Carmine (pressi Hotel, civ 128);19S,19,9
CM0605;via Carmine (civ. N. 21);19S,19,9A,9
CM0606;via Carmine (civ. N. 20);19S,19,9
CM0878;via Cao di San Marco;13
CM1174;Centro commerciale;SS
CO0188;via Dei Conversi (lato Convento);6
CO0189;via dell'Abbazia (lato fermata Metropolitana);6
CO0369;Via Corsica;
CO0458;via Colombo (ang . via Paganini);1Q,19,QSB,QSA,QS
CO0459;via Colombo (ang. via Foscolo);1Q,19,QSB,QSA,QS
CO0460;via Colombo (ang via Caboto);19,QSB,QSA,QS,40
CO0461;via Colombo (ang. via Rossini);1Q,19,QSB,QSA,QS,41
CO0462;via Colombo (ang. via Meucci);1Q,19,QSB,QSA,QS,40
CO0463;via Colombo (ang. via Gramsci);1Q,19,QSB,QSA,QS,41
CO0522;via Colombo (ang. via S. Benedetto);19,QSB,QSA,QS
CO0523;via Colombo (ang. via Salieri civ. 338);QS
CO0524;via Colombo (lato Polizia Municipale);19,QSB,QSA,QS
CO0525;via Colombo (fronte Vigili);19,QSB,QSA,QS
CO1141;via Ciociaria;20,58
CO1999;Viale Colombo;
CP0139;via Carpaccio (fronte Circoscrizione);20
CP0644;via Costantinopoli (ang. via Atene);6
CP0883;via Carpaccio (lato Circoscrizione);20
CP1139;Circonv. Pirri (Lato bar);16
CQ1140;via Cinquini (Capolinea Parco San Michele);58
CQ1148;via Cinquini;58
CR0113;via Is Cornalias (ang. via Cinquini);20
CR0114;via Is Cornalias (fronte via Sulcis);20
CR0115;via Is Cornalias (ang. via Sulcis);20
CR0133;via Is Cornalias (ang. via Giotto);1,20
CR0803;via Is Cornalias (lato Acquedotto);1,20
CR0804;via Is Cornalias (fronte via Giotto);1,20
CR0809;via Is Cornalias (fronte Acquedotto);1,20
CR0890;via Is Cornalias (ang. via Brianza);20,58
CS0136;via Crespellani (ang. via Tintoretto);20
CS0137;via Crespellani (ang. via Masaccio);20
CS0885;via Crespellani;20
CS0886;via Crespellan (fronte via Tintoretto);20
CT0227;via Castiglione;1
CT0228;via Castiglione ;1
CT0231;via Castiglione (Campo Sportivo);1
CT0232;via Castiglione (fronte Scuola Materna);1
CU0735;Cittadella Universitaria (Capolinea QSA);29S,29,QSA,8
CU0741;Cittadella Universitaria;29S,29,8
CU0900;via Cugia (ang via Scano civ 37);10
CU0918;via Cugia (Liceo dettori);10
CU0919;via Cugia (ang via Randaccio civ 34);10
CV1135;via Conte Verde;15
CZ0051;p.zza Costituzione (Bastione);10
DA0196;via Dante (Repubblica);31,30,Z,P
DA0197;via Dante (Repubblica) ;29,31,30,P
DA0206;via Dante (ang. via Todde);1,29S,29,3
DA0270;via Dante (Cimitero);31,30,P
DA0271;via Dante (ang. via S.Lucifero);29,6,31,30,P
DA0272;via Dante (Biochimico);31,30,P
DA0273;via Dante (ang. via G.Deledda);29,6,31,30,Z,P
DA0309;Via Dante (Ex Biochimico);6
DA0312;Via Dante (Tribunale dei Minorenni);6
DA0925;Via Danimarca;40
DA0984;via Danimarca;41
DA1147;Via DAnte (Lato esattoria);29S,29
DC0248;via del Canneto (ang. via Vesalio);1
DD0766;via D. Deliperi (pressi via Carpaccio);1,QSB,QS
DD0806;via D. Deliperi (fronte Scuola);1,20
DD0807;via D. Deliperi (Scuola);1,20
